╔══════════════════════════════════════════════════════════════════════════════╗
║                    ZPL/EPL Rendering Diff Report                            ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ Name                           │ Ext  │    Diff% │   Actual(WxH) │ Expected(WxH) │ Status       ║
╠══════════════════════════════════════════════════════════════════════════════╣
║ amazon                         │ zpl  │    2.26% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ amazonshipping                 │ zpl  │    3.11% │      813x1626 │      812x1624 │ MINOR(<5%)   ║
║ auspost                        │ zpl  │    3.93% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ aztec_ec                       │ zpl  │    8.07% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ barcode128_default_width       │ zpl  │    0.62% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line                │ zpl  │    0.23% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_line_above          │ zpl  │    0.26% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_a              │ zpl  │    0.62% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_d              │ zpl  │    0.62% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_n              │ zpl  │    0.62% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_n_cba_sets     │ zpl  │    0.38% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ barcode128_mode_u              │ zpl  │    2.19% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ barcode128_rotated             │ zpl  │    0.27% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ bpost                          │ zpl  │    3.59% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ brtit                          │ zpl  │    3.82% │      813x1626 │      812x1624 │ MINOR(<5%)   ║
║ bstc                           │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ canadapost                     │ zpl  │    4.04% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ colissimo                      │ zpl  │    3.24% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ correos                        │ zpl  │    3.73% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbs                            │ zpl  │    4.31% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dbschenker                     │ zpl  │    4.36% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlecommercetr                 │ zpl  │    3.48% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlpaket                       │ zpl  │    2.18% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dhlparcelit                    │ zpl  │    9.46% │      813x1626 │      812x1624 │ MODERATE(<15%) ║
║ dhlparceluk                    │ zpl  │    4.91% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdde                          │ zpl  │    3.50% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ dpdpl                          │ zpl  │    6.72% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ dpduk                          │ epl  │    5.42% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ ean13                          │ zpl  │    2.77% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ edi_triangle                   │ zpl  │    0.59% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ encodings_013                  │ zpl  │    1.51% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ evri                           │ zpl  │    3.06% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
║ fedex                          │ zpl  │    5.98% │      813x1626 │      813x1626 │ MODERATE(<15%) ║
║ gb_0_height                    │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_0_width                     │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_normal                      │ zpl  │    0.00% │      813x1626 │      813x1626 │ PERFECT      ║
║ gb_rounded                     │ zpl  │    0.07% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gd_default_params              │ zpl  │    0.29% │      813x1626 │      813x1626 │ GOOD(<1%)    ║
║ gd_thick                       │ zpl  │    3.90% │      813x1626 │      813x1626 │ MINOR(<5%)   ║
